month,sourceFile,rowNumber,sourceSystem,account,currency,isbn,title,units,gross,net,sha256,lineItem
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,20,INGRAM_POD,9118734,USD,1954414234,"You're Still Not Crazy: You May Be An Empath Dealing With A Narcissist",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,ead1f1ce290a9c42f99b3baf891daf9cad58c46e4940c9111e915be73d9a9fb5
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,21,INGRAM_POD,9118734,USD,1954414293,"The Journey: The Inspiration and Message Behind the Music",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,3fe053aed5d09e4b1e488648393662599d7835f221c95905f9e76d98eb6771bb
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,22,INGRAM_POD,9118734,USD,1954414315,"What Goes Up Must Come Down Let's Face It",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,a35cc409459666302ede03d5b50918fbc58bc1741806b62104bf4f803bfc4f79
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,23,INGRAM_POD,9118734,USD,1954414358,"Help God, I Am - The Collection",1,20.99,4.04,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,060b1933ebcf83bc5cc49af9e3a24439007cffa1326158b7d3362fe0101e7b51
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,24,INGRAM_POD,9118734,USD,1954414374,"Mirror of Refining Insight: An Introspective Look At Pursuing Your Purpose",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,b79c51d86ef7fcb951e84ed5d035333adab57a32cdad18b9c1750da398bfee69
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,25,INGRAM_POD,9118734,USD,1954414390,"A Little Bit of Everything",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,69ca9cff6c92cf254b08b5751a48e4cd3cfa5bbdcc02bd30ef2b64042c4cc45a
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,26,INGRAM_POD,9118734,USD,195441448X,"The Master's Piece",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,4ec84a1e867d05a0c9c8cc675176c78697054a736474753088fd533b8fde15bd
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,27,INGRAM_POD,9118734,USD,1954414641,"The Never Before Told Story of the Gelatin Monster",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,6bd81a083d909abfca295342eb34e197ff613bb8451d67e4b7617cf82976f9ba
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,28,INGRAM_POD,9118734,USD,1954414692,"The Princess and the Black-eyed Pea",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,18956d60a5adfbb0e0a43dc053d4b06e7146997919e341ee16e0c4bcd0f61f9c
01,LSI POD Wholesale Comp Report for 9118734 (US-USD).xls,29,INGRAM_POD,9118734,USD,1954414749,"7 Step Jumpstart to Becoming Your Best Self",0,0,0,17c868f08803d4fc4f3201bf7b1babc4b067fefe031a7178c0668b61e6bb5bc7,c74196d5aaa49b4f5d9975dcc478ada5cca08b34f7d6636677b3b8359f5f97e7
