ISBN13	Title	Format	Status	ISBN	KINDLE	Published	 List Price 	 Cost 	40%	New 	 AUTHOR COPY 	 Author 	Contract	IsDistributed	House
1981006001	Establishing Glory: The Praise and Worship Handbook	Digital online	AC (USA)	1981006001	B07CV3PL7C	2018-05-04		 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-0-578523-71-2	Uncomfortable Conversations with God	Paperback	AC (USA)	9780578523712		2019-09-09	 10.99 	 -   	 4.40 	 1.50 	 4.40 	 Leslie Banks 	1	Y	Y
978-0-9852631-2-6	God’s Business Plan	Paperback	AC (USA)	9780985263126		2022-06-01	 14.99 	 3.48 	 6.00 	 4.98 	 6.00 	 Terry Stephens 	1	Y	
978-0-9852631-3-3	God’s Business Plan	Ebook	AC (USA)	9780985263133		2022-06-01	 -   	 -   	 -   		 0.40 	 Terry Stephens 	1	Y	
978-1-731131-77-5	Establishing Glory: The Relationship Handbook	Paperback	AC (USA)	9781731131775		2018-11-22	 19.99 	 1.00 	 8.00 	 2.50 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-735425-03-1	27 Days to Overcoming Depression	Ebook	AC (USA)	9781735428031		2025-02-01	 -   	 -   	 -   		 0.40 	 Donjia Walls 	1	Y	
978-1-792313-70-7	Come Out of Hiding	Paperback	AC (USA)	9781792313707		2020-02-02	 9.99 	 2.43 	 4.00 	 3.93 	 4.00 	 Christina Chislom 	1	Y	Y
978-1-950719-00-6	Establishing Glory	Paperback	AC (USA)	9781950719006		2019-04-03	 19.99 	 2.83 	 8.00 	 4.33 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-01-3	Establishing Glory	Ebook	AC (USA)	9781950719013	B07YX7B5WR	2019-04-03	 19.99 	 -   	 8.00 		 8.00 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-02-0	Establishing Glory	Hardback	AC (USA)	9781950719020		2019-04-06	 24.99 	 6.71 	 10.00 	 8.21 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-03-7	Establishing Glory 2	Paperback	AC (USA)	9781950719037		2019-04-14	 19.99 	 3.14 	 8.00 	 4.64 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-04-4	Establishing Glory 2	Ebook - EPUB	AC (USA)	9781950719044	B07YXGFX8P	2019-04-14	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-05-1	Establishing Glory 2	Hardback	AC (USA)	9781950719051		2019-04-15	 24.99 	 7.00 	 10.00 	 8.50 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-06-8	The Girl with the Ebony Locs and the Three Bears	Paperback	AC (USA)	9781950719068		2019-10-01	 9.99 	 2.31 	 4.00 	 3.81 	 4.00 	 Deborah Eiland 	1	Y	
978-1-950719-07-5	The Girl with the Ebony Locs and the Three Bears	Ebook	AC (USA)	9781950719075	B081PRHKL5	2019-11-18	 -   	 -   	 -   		 0.40 	 Deborah Eiland 	1	Y	
978-1-950719-08-2	The Celestial Advantage	Paperback	AC (USA)	9781950719082		2019-10-15	 9.99 	 2.11 	 4.00 	 3.61 	 4.00 	 Obadiah Harris 	1	Y	Y
978-1-950719-09-9	The Celestial Advantage	Ebook	AC (USA)	9781950719099	B07Z7K2R6W	2019-10-15	 -   	 -   	 -   		 0.40 	 Obadiah Harris 	1	Y	
978-1-950719-10-5	Number 23 and Me	Paperback	AC (USA)	9781950719105		2020-04-23	 22.99 	 9.70 	 9.20 	 11.20 	 10.10 	 Wayne Pounds 	1	Y	Y
978-1-950719-11-2	Uncomfortable Conversations with God	Ebook	AC (USA)	9781950719112		2019-09-09	 -   	 -   	 -   		 0.40 	 Leslie Banks 	1	Y	
978-1-950719-12-9	Number 23 and Me	Ebook	AC (USA)	9781950719129	B081HF4X12	2020-04-23	 -   	 -   	 -   		 0.40 	 Wayne Pounds 	1	Y	
978-1-950719-13-6	Establishing Glory 3	Paperback	AC (USA)	9781950719136		2019-11-11	 19.99 	 3.60 	 8.00 	 5.10 	 8.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-14-3	Establishing Glory 3	Ebook	AC (USA)	9781950719143	B07Z5GP3LC	2019-11-11	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-15-0	Establishing Glory 3	Hardback	AC (USA)	9781950719150		2019-11-11	 24.99 	 7.42 	 10.00 	 8.92 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-16-7	Help God, I Am Afraid	Hardback	AC (USA)	9781950719167		2019-12-01	 14.99 	 5.89 	 6.00 	 7.39 	 6.29 	 Cheryl Travis 	1	Y	Y
978-1-950719-17-4	Help God, I Am Afraid	Ebook	AC (USA)	9781950719174	B081CZTB1R	2019-11-18	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-18-1	Destined to Break the Curse Devotional	Paperback	AC (USA)	9781950719181		2019-11-01	 14.99 	 2.51 	 6.00 	 4.01 	 6.00 	 Sean Smith, Sr. 	1	Y	Y
978-1-950719-19-8	Destined To Break The Curse Devotional	Ebook	AC (USA)	9781950719198	B07N44RV72	2019-11-01	 -   	 -   	 -   		 0.40 	 Sean Smith, Sr. 	1	Y	
978-1-950719-20-4	Are You Sure That You Are Ready?	Paperback	AC (USA)	9781950719204		2020-02-01	 24.99 	 2.23 	 10.00 	 3.73 	 10.00 	 Ericka Thornton 	1	Y	Y
978-1-950719-21-1	The Essence of Life, Love Letters to Christ	Paperback	AC (USA)	9781950719211		2020-03-30	 9.99 	 3.28 	 4.00 	 4.78 	 4.00 	 Tracy Norris 	1	Y	Y
978-1-950719-22-8	Are You Sure That You Are Ready?	Ebook	AC (USA)	9781950719228	B083WHVPSY	2020-01-20	 -   	 -   	 -   		 0.40 	 Ericka Thornton 	1	Y	
978-1-950719-23-5	The Essence of Life, Love Letters to Christ	Ebook	AC (USA)	9781950719235	B083MYRJ8D	2020-03-30	 -   	 -   	 -   		 0.40 	 Tracy Norris 	1	Y	
978-1-950719-24-2	Help God, I Am Angry	Hardback	AC (USA)	9781950719242		2020-02-23	 14.99 	 5.84 	 6.00 	 7.34 	 6.24 	 Cheryl Travis 	1	Y	Y
978-1-950719-25-9	Help God, I Am Angry	Ebook - EPUB	AC (USA)	9781950719259	B083P37S46	2020-02-23	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-26-6	Come Out of Hiding	Ebook - EPUB	AC (USA)	9781950719266	B084FFX1X5	2020-02-02	 -   	 -   	 -   		 0.40 	 Christina Chislom 	1	Y	
978-1-950719-27-3	Jewels by Lady J	Ebook - EPUB	AC (USA)	9781950719273	B084QCNRLP	2020-02-11	 -   	 -   	 -   		 0.40 	 Janet Stephens 	1	Y	
978-1-950719-28-0	Jewels by Lady J	Paperback	AC (USA)	9781950719280		2020-02-11	 19.99 	 6.17 	 8.00 	 7.67 	 8.00 	 Janet Stephens 	1	Y	Y
978-1-950719-29-7	Jewels by Lady J	Hardback	AC (USA)	9781950719297		2020-02-11	 24.99 	 10.64 	 10.00 	 12.14 	 11.04 	 Janet Stephens 	1	Y	
978-1-950719-30-3	Help God, I Am Hurt	Hardback	AC (USA)	9781950719303		2020-05-01	 14.99 	 5.89 	 6.00 	 7.39 	 6.29 	 Cheryl Travis 	1	Y	Y
978-1-950719-31-0	Help God, I Am Hurt	Ebook	AC (USA)	9781950719310	B0875RV83M	2020-05-01	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-32-7	A Truebies Guide, Part 2	Paperback	AC (USA)	9781950719327		2020-10-01	 19.99 	 2.74 	 8.00 	 4.24 	 8.00 	 Alesia Corpening 	1	Y	Y
978-1-950719-33-4	A Truebies Guide, Part 2	Ebook	AC (USA)	9781950719334	B08HVD573H	2020-10-01	 -   	 -   	 -   		 0.40 	 Alesia Corpening 	1	Y	
978-1-950719-34-1	Destined to Break the Curse	Paperback	AC (USA)	9781950719341		2020-06-15	 9.99 	 3.79 	 4.00 	 5.29 	 4.19 	 Sean Smith, Sr. 	1	Y	Y
978-1-950719-35-8	Destined to Break the Curse	Ebook	AC (USA)	9781950719358	B08953VB4M	2020-06-15	 -   	 -   	 -   		 0.40 	 Sean Smith, Sr. 	1	Y	
978-1-950719-36-5	Conquer Your Fears and Win	Hardback	AC (USA)	9781950719365		2020-05-28	 24.99 	 6.26 	 10.00 	 7.76 	 10.00 	 Gloria Patterson 	1	Y	Y
978-1-950719-37-2	Conquer Your Fears and Win	Ebook	AC (USA)	9781950719372	B088FZ4FB9	2020-05-28	 -   	 -   	 -   		 0.40 	 Gloria Patterson 	1	Y	
978-1-950719-38-9	Life after Detour	Paperback	AC (USA)	9781950719389		2020-06-01	 19.99 	 4.57 	 8.00 	 6.07 	 8.00 	 Deanna Jones 	1	Y	Y
978-1-950719-39-6	Life After Detour	Ebook	AC (USA)	9781950719396	B088P5GX66	2020-06-01	 -   	 -   	 -   		 0.40 	 Deanna Jones 	1	Y	
978-1-950719-40-2	Girl, You're Not Crazy. You're Dealing with a Narcissist	Paperback	AC (USA)	9781950719402		2020-06-01	 14.99 	 2.65 	 6.00 	 4.15 	 6.00 	 Carolyn Booker-Pierce 	1	Y	Y
978-1-950719-41-9	Girl, You're Not Crazy. You're Dealing With a Narcissist	Ebook	AC (USA)	9781950719419	B088QJ8DWQ	2020-06-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-950719-42-6	Getting Back 2 Happy	Paperback	AC (USA)	9781950719426		2020-08-15	 19.99 	 4.97 	 8.00 	 6.47 	 8.00 	 Jaylonna Stevette 	1	Y	Y
978-1-950719-43-3	Getting Back 2 Happy	Ebook	AC (USA)	9781950719433	B08CHL8312	2020-08-15	 -   	 -   	 -   		 0.40 	 Jaylonna Stevette 	1	Y	
978-1-950719-44-0	Because the Lord Is My Shepherd	Paperback	AC (USA)	9781950719440		2020-08-01	 14.99 	 2.65 	 6.00 	 4.15 	 6.00 	 Carolyn Booker-Pierce 	1	Y	Y
978-1-950719-45-7	Because the Lord is My Shepherd	Ebook	AC (USA)	9781950719457	B08CL6F7KF	2020-08-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-950719-46-4	Conquer Your Fears and Win	Paperback	AC (USA)	9781950719464		2020-07-25	 9.99 	 2.34 	 4.00 	 3.84 	 4.00 	 Gloria Patterson 	1	Y	
978-1-950719-47-1	The Hood	Paperback	AC (USA)	9781950719471		2020-09-01	 9.99 	 2.74 	 4.00 	 4.24 	 4.00 	 Randall Beverly 	1	Y	Y
978-1-950719-48-8	The Hood	Ebook	AC (USA)	9781950719488	B08FCWPBR2	2020-09-01	 -   	 -   	 -   		 0.40 	 Randall Beverly 	1	Y	
978-1-950719-49-5	Focus, Trust, & Follow	Paperback	AC (USA)	9781950719495		2020-09-01	 9.99 	 2.14 	 4.00 	 3.64 	 4.00 	 Shana Byrd 	1	Y	Y
978-1-950719-50-1	Focus, Trust, & Follow	Ebook	AC (USA)	9781950719501	B08FHRPK7M	2020-09-01	 -   	 -   	 -   		 0.40 	 Shana Byrd 	1	Y	
978-1-950719-51-8	Never Give up on Love	Ebook	AC (USA)	9781950719518	B08HWRNPRY	2020-10-01	 -   	 -   	 -   		 0.40 	 Pamela Smith 	1	Y	
978-1-950719-52-5	Never Give Up On Love	Paperback	AC (USA)	9781950719525		2020-10-01	 12.99 	 3.69 	 5.20 	 5.19 	 5.20 	 Pamela Smith 	1	Y	Y
978-1-950719-53-2	I Am My Worst Enemy!	Ebook	AC (USA)	9781950719532	B08HX594J8	2020-10-01	 -   	 -   	 -   		 0.40 	 Maurche Reed 	1	Y	
978-1-950719-54-9	I Am My Worst Enemy!	Paperback	AC (USA)	9781950719549		2020-10-01	 9.99 	 2.14 	 4.00 	 3.64 	 4.00 	 Maurche Reed 	1	Y	Y
978-1-950719-55-6	Speech Therapy Works!	Ebook	AC (USA)	9781950719556	B08JJ54HLG	2020-11-01	 -   	 -   	 -   		 0.40 	 Cynthia Sloan 	1	Y	
978-1-950719-56-3	Speech Therapy Works!	Paperback	AC (USA)	9781950719563		2020-09-26	 7.99 	 2.40 	 3.20 	 3.90 	 3.20 	 Cynthia Sloan 	1	Y	Y
978-1-950719-57-0	Loving the Addict	Paperback	AC (USA)	9781950719570		2020-12-01	 14.99 	 2.85 	 6.00 	 4.35 	 6.00 	 Carolyn Booker-Pierce 	1	Y	Y
978-1-950719-58-7	Loving the Addict	Ebook	AC (USA)	9781950719587	B08L69SRKR	2020-12-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-950719-59-4	One Soul	Ebook	AC (USA)	9781950719594	B08TV6DB66	2021-03-01	 -   	 -   	 -   		 0.40 	 Veronica Brown 	1	Y	
978-1-950719-60-0	One Soul	Paperback	AC (USA)	9781950719600		2021-03-01	 12.99 	 2.25 	 5.20 	 3.75 	 5.20 	 Veronica Brown 	1	Y	Y
978-1-950719-61-7	A Truebies Guide, Part 1	Ebook	AC (USA)	9781950719617			 -   	 -   	 -   		 0.40 	 Alesia Corpening 	1	Y	
978-1-950719-62-4	A Truebies Guide, Part 1	Paperback	AC (USA)	9781950719624			 -   	 -   	 -   	 1.50 	 0.40 	 Alesia Corpening 	1	Y	I
978-1-950719-63-1	The Release of the Spirit	Ebook	AC (USA)	9781950719631	B08P93FZX5	2021-01-01	 -   	 -   	 -   		 0.40 	 Lyle Goddard 	1	Y	
978-1-950719-64-8	The Release of the Spirit	Paperback	AC (USA)	9781950719648		2021-01-01	 13.99 	 2.85 	 5.60 	 4.35 	 5.60 	 Lyle Goddard 	1	Y	Y
978-1-950719-65-5	A Principal's Tale	Ebook	AC (USA)	9781950719655	B08SCCP8GS	2021-02-14	 -   	 -   	 -   		 0.40 	 Shelley McIntosh 	1	Y	
978-1-950719-66-2	A Principal's Tale	Paperback	AC (USA)	9781950719662		2021-02-14	 17.99 	 3.08 	 7.20 	 4.58 	 7.20 	 Shelley McIntosh 	1	Y	Y
978-1-950719-67-9	Pieces of Me All over the Place	Ebook	AC (USA)	9781950719679	B08TV69M9Y	2021-03-01	 -   	 -   	 -   		 0.40 	 Ashanti Flemister 	1	Y	
978-1-950719-68-6	Pieces of Me All Over the Place	Paperback	AC (USA)	9781950719686		2021-03-01	 13.99 	 2.94 	 5.60 	 4.44 	 5.60 	 Ashanti Flemister 	1	Y	Y
978-1-950719-69-3	Help God, I Am Lost	Ebook	AC (USA)	9781950719693	B08PS6C4VY	2021-01-01	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-70-9	Help God, I Am Lost	Hardback	AC (USA)	9781950719709		2021-01-01	 14.99 	 5.79 	 6.00 	 7.29 	 6.19 	 Cheryl Travis 	1	Y	Y
978-1-950719-71-6	For What It's Worth	Ebook	AC (USA)	9781950719716		2021-03-01	 -   	 -   	 -   		 0.40 	 Kelli Milligan Stammen 	1	Y	
978-1-950719-72-3	For What It's Worth	Paperback	AC (USA)	9781950719723		2021-03-01	 24.99 	 7.80 	 10.00 	 9.30 	 10.00 	 Kelli Milligan Stammen 	1	Y	Y
978-1-950719-73-0	Melodies from Heaven	Ebook	AC (USA)	9781950719730	B08WL5NR31	2021-03-15	 -   	 -   	 -   		 0.40 	 Bailery Cunningham 	1	Y	
978-1-950719-74-7	Melodies From Heaven	Paperback	AC (USA)	9781950719747		2021-03-15	 9.99 	 2.08 	 4.00 	 3.58 	 4.00 	 Bailery Cunningham 	1	Y	Y
978-1-950719-75-4	Help God, I Am Sad	Ebook	AC (USA)	9781950719754	B08T5HZD3N	2021-03-01	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-76-1	Help God, I Am Sad	Hardback	AC (USA)	9781950719761		2021-03-01	 14.99 	 5.81 	 6.00 	 7.31 	 6.21 	 Cheryl Travis 	1	Y	Y
978-1-950719-77-8	Help God, I Am Confused	Ebook	AC (USA)	9781950719778	B08TV43QPW	2021-05-01	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-78-5	Help God, I Am Confused	Hardback	AC (USA)	9781950719785		2021-05-01	 14.99 	 5.81 	 6.00 	 7.31 	 6.21 	 Cheryl Travis 	1	Y	Y
978-1-950719-79-2	Inspirations from God	Ebook - EPUB	AC (USA)/AC (EBC)	9781950719792	B091BDVL63	2021-05-01	 -   	 -   	 -   		 0.40 	 Edith Clay 	1	Y	
978-1-950719-80-8	Inspirations from God	Paperback	AC (USA)	9781950719808		2021-05-01	 14.99 	 6.48 	 6.00 	 7.98 	 6.88 	 Edith Clay 	1	Y	Y
978-1-950719-81-5	Help God, I Am Lonely	Ebook	AC (USA)	9781950719815	B08XN4Y93R	2021-07-01	 -   	 -   	 -   		 0.40 	 Cheryl Travis 	1	Y	
978-1-950719-82-2	Help God, I Am Lonely	Hardback	AC (USA)	9781950719822		2021-07-01	 14.99 	 5.84 	 6.00 	 7.34 	 6.24 	 Cheryl Travis 	1	Y	Y
978-1-950719-83-9	Establishing Glory	Ebook	AC (USA)	9781950719839	B08SW6G5ZL	2021-02-14	 -   	 -   	 -   		 0.40 	 Jackie Smith, Jr. 	1	Y	
978-1-950719-84-6	Establishing Glory	Paperback	AC (USA)	9781950719846		2021-02-14	 24.99 	 3.74 	 10.00 	 5.24 	 10.00 	 Jackie Smith, Jr. 	1	Y	Y
978-1-950719-85-3	Just What I Needed	Ebook	AC (USA)	9781950719853	B08TYGCW2M	2021-03-01	 -   	 -   	 -   		 0.40 	 Adrean Young 	1	Y	
978-1-950719-86-0	Just What I Needed	Paperback	AC (USA)	9781950719860		2021-03-01	 24.99 	 12.34 	 10.00 	 13.84 	 12.74 	 Adrean Young 	1	Y	Y
978-1-950719-87-7	God's Nudge	Ebook	AC (USA)	9781950719877		2022-05-07	 -   	 -   	 -   		 0.40 	 Tekisha Wimbush 	1	Y	
978-1-950719-88-4	God's Nudge	Paperback	AC (USA)	9781950719884		2022-05-07	 19.99 	 4.93 	 8.00 	 6.43 	 8.00 	 Tekisha Wimbush 	1	Y	
978-1-950719-89-1	She	Ebook	AC (USA)	9781950719891	B08XC68LLN	2021-04-01	 -   	 -   	 -   		 0.40 	 M Darlene Carson 	1	Y	
978-1-950719-90-7	SHE	Paperback	AC (USA)	9781950719907		2021-04-01	 19.99 	 2.74 	 8.00 	 4.24 	 8.00 	 M Darlene Carson 	1	Y	Y
978-1-950719-91-4	365 Days of Transparency	Ebook	AC (USA)	9781950719914	B08VVX7NNZ	2021-03-08	 -   	 -   	 -   		 0.40 	 Daphanny Baker 	1	Y	
978-1-950719-92-1	365 Days Of Transparency	Paperback	AC (USA)	9781950719921		2021-03-08	 14.99 	 6.69 	 6.00 	 8.19 	 7.09 	 Daphanny Baker 	1	Y	Y
978-1-950719-93-8	Love Lucy	Ebook	AC (USA)	9781950719938	B091CVHJH6	2021-05-01	 -   	 -   	 -   		 0.40 	 Diane Johnson 	1	Y	
978-1-950719-94-5	Love Lucy	Paperback	AC (USA)	9781950719945		2021-05-01	 9.99 	 2.34 	 4.00 	 3.84 	 4.00 	 Diane Johnson 	1	Y	Y
978-1-950719-95-2	Support Beyond the Cycle	Ebook	AC (USA)	9781950719952	B08ZZYLZ9J	2021-05-01	 -   	 -   	 -   		 0.40 	 Brandyn McElroy 	1	Y	
978-1-950719-96-9	Support Beyond the Cycle	Paperback	AC (USA)	9781950719969		2021-05-01	 14.99 	 2.40 	 6.00 	 3.90 	 6.00 	 Brandyn McElroy 	1	Y	Y
978-1-950719-97-6	Love Is an Action Word	Ebook	AC (USA)	9781950719976	B096LBZPFX	2021-07-01	 -   	 -   	 -   		 0.40 	 Kurt Broadnax 	1	Y	
978-1-950719-98-3	Love Is An Action Word	Paperback	AC (USA)	9781950719983		2021-07-01	 9.99 	 2.60 	 4.00 	 4.10 	 4.00 	 Kurt Broadnax 	1	Y	Y
978-1-950719-99-0	Abortion!	Ebook	AC (USA)	9781950719990		2021-07-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-954414-00-6	Abortion!	Paperback	AC (USA)	9781954414006		2021-07-01	 14.99 	 2.57 	 6.00 	 4.07 	 6.00 	 Carolyn Booker-Pierce 	1	Y	Y
978-1-954414-01-3	Understanding the Misunderstood	Ebook	AC (USA)	9781954414013	B09DBN7JJ7	2021-10-01	 -   	 -   	 -   		 0.40 	 Tia Benincase 	1	Y	
978-1-954414-02-0	Understanding the Misunderstood	Hardback	AC (USA)	9781954414020		2021-10-01	 14.99 	 5.94 	 6.00 	 7.44 	 6.34 	 Tia Benincase 	1	Y	Y
978-1-954414-03-7	Bodacious	Ebook	AC (USA)	9781954414037		2021-07-01	 -   	 -   	 -   		 0.40 	 Nathaniel Short 	1	Y	
978-1-954414-04-4	Bodacious	Paperback	AC (USA)	9781954414044		2021-07-01	 9.99 	 2.43 	 4.00 	 3.93 	 4.00 	 Nathaniel Short 	1	Y	Y
978-1-954414-05-1	Aligned!	Ebook	AC (USA)	9781954414051		2022-02-01	 -   	 -   	 -   		 0.40 	 Dennis Brown 	1	Y	
978-1-954414-06-8	Aligned!	Paperback	AC (USA)	9781954414068		2022-02-01	 15.99 	 4.31 	 6.40 	 5.81 	 6.40 	 Dennis Brown 	1	Y	
978-1-954414-07-5	Pretty Wings	Ebook	AC (USA)	9781954414075	B09GLJSG8P	2021-11-01	 -   	 -   	 -   		 0.40 	 Natasha Gilchrest 	1	Y	
978-1-954414-08-2	Pretty Wings	Paperback	AC (USA)	9781954414082		2021-11-01	 14.99 	 2.60 	 6.00 	 4.10 	 6.00 	 Natasha Gilchrest 	1	Y	Y
978-1-954414-09-9	Hop, Hop, Hop	Ebook	AC (USA)	9781954414099		2021-12-25	 -   	 -   	 -   		 0.40 	 Tawana Mars 	1	Y	
978-1-954414-10-5	Hop, Hop, Hop	Paperback	AC (USA)	9781954414105		2021-12-25	 9.99 	 2.15 	 4.00 	 3.65 	 4.00 	 Tawana Mars 	1	Y	
978-1-954414-11-2	A Blended Family	Ebook	AC (USA)	9781954414112		2022-01-01	 -   	 -   	 -   		 0.40 	 Shecara Norris 	1	Y	
978-1-954414-12-9	A Blended Family	Paperback	AC (USA)	9781954414129		2022-01-01	 12.99 	 1.98 	 5.20 	 3.48 	 5.20 	 Shecara Norris 	1	Y	Y
978-1-954414-13-6	More Than a Village	Ebook	AC (USA)	9781954414136		2021-09-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-954414-14-3	More Than A Village	Paperback	AC (USA)	9781954414143		2021-09-01	 14.99 	 2.60 	 6.00 	 4.10 	 6.00 	 Carolyn Booker-Pierce 	1	Y	
978-1-954414-15-0	Connected!	Ebook	AC (USA)	9781954414150	B09DBQLTJL	2021-10-01	 -   	 -   	 -   		 0.40 	 Dennis Brown 	1	Y	
978-1-954414-16-7	Connected!	Paperback	AC (USA)	9781954414167		2021-10-01	 14.99 	 4.28 	 6.00 	 5.78 	 6.00 	 Dennis Brown 	1	Y	Y
978-1-954414-17-4	Memoir of a Black Christian Nationalist	Ebook	AC (USA)	9781954414174	B09D8VNF1B	2021-11-20	 -   	 -   	 -   		 0.40 	 Shelley McIntosh 	1	Y	
978-1-954414-18-1	Memoir of a Black Christian Nationalist	Hardback	AC (USA)	9781954414181		2021-11-20	 24.99 	 9.29 	 10.00 	 10.79 	 10.00 	 Shelley McIntosh 	1	Y	Y
978-1-954414-19-8	Memoir of a Black Christian Nationalist	Paperback	AC (USA)	9781954414198		2021-11-20	 24.99 	 5.89 	 10.00 	 7.39 	 10.00 	 Shelley McIntosh 	1	Y	
978-1-954414-20-4	Grandmothers Educating Minds	Ebook	AC (USA)	9781954414204		2022-05-08	 -   	 -   	 -   		 0.40 	 Toni Kleckley 	1	Y	
978-1-954414-21-1	Grandmothers Educating Minds	Paperback	AC (USA)	9781954414211		2022-05-08	 15.99 	 3.46 	 6.40 	 4.96 	 6.40 	 Toni Kleckley 	1	Y	
978-1-954414-22-8	You're Still Not Crazy	Ebook	AC (USA)	9781954414228		2021-12-01	 -   	 -   	 -   		 0.40 	 Carolyn Booker-Pierce 	1	Y	
978-1-954414-23-5	You're Still Not Crazy	Paperback	AC (USA)	9781954414235		2021-12-01	 14.99 	 2.80 	 6.00 	 4.30 	 6.00 	 Carolyn Booker-Pierce 	1	Y	Y
978-1-954414-24-2	Why Faith Works for Some and Not for Others	Ebook	AC (USA)	9781954414242			 -   	 -   	 -   		 0.40 	 Rodney Waller 	1	N	
978-1-954414-25-9	Why Faith Works For Some And Not For Others	Paperback	AC (USA)	9781954414259			 -   	 -   	 -   	 1.50 	 0.40 	 Rodney Waller 	1	N	I
