TITLE_ID,TITLE_NAME,CONTACT_ID,AUTHOR_PROFILE_ID,INTAKE_ID,OPPORTUNITY_ID,PUBLISHING_ASSET_IDS,CURRENT_RELATIONSHIPS
2e9c7bde-b389-f111-ab10-6045bdd69678,Establishing Glory 3,,,,,,2e9c7bde-b389-f111-ab10-6045bdd69678
a35b72e0-b389-f111-ab10-7c1e525b15c2,Establishing Glory 3,,,,,,a35b72e0-b389-f111-ab10-7c1e525b15c2
a45b72e0-b389-f111-ab10-7c1e525b15c2,Establishing Glory 3,,,,,,a45b72e0-b389-f111-ab10-7c1e525b15c2
7e67a4c3-c37a-f111-ab0f-6045bdd69678,Establishing Glory 3,,,,,476ae3d3-c47a-f111-ab0f-000d3a9eacee; f586d5d0-c47a-f111-ab0f-6045bdd69435; 148d52cf-c47a-f111-ab0f-6045bdd69738,7e67a4c3-c37a-f111-ab0f-6045bdd69678
b47e1ee0-b389-f111-ab10-000d3a14673b,Establishing Glory: The Praise and Worship Handbook,,,,,,b47e1ee0-b389-f111-ab10-000d3a14673b
56a0a0e0-b389-f111-ab10-6045bdd69738,Establishing Glory: The Praise and Worship Handbook,,,,,,56a0a0e0-b389-f111-ab10-6045bdd69738
b1b61ac7-c37a-f111-ab0f-00224820105b,Establishing Glory: The Praise and Worship Handbook,,,,,6ba105f4-c47a-f111-ab0f-6045bdd69738; ede394cd-c47a-f111-ab0f-000d3a9eacee,b1b61ac7-c37a-f111-ab0f-00224820105b
194097e0-b389-f111-ab10-00224820105b,Establishing Glory: The Relationship Handbook,,,,,,194097e0-b389-f111-ab10-00224820105b
dbb71ac7-c37a-f111-ab0f-00224820105b,Establishing Glory: The Relationship Handbook,,,,,f6e394cd-c47a-f111-ab0f-000d3a9eacee,dbb71ac7-c37a-f111-ab0f-00224820105b
161405c7-c37a-f111-ab0f-7c1e525b15c2,"Focus, Trust, & Follow",,,,,b70952d5-c47a-f111-ab0f-6045bdd69738; 52b515d6-c47a-f111-ab0f-7c1e525b15c2,161405c7-c37a-f111-ab0f-7c1e525b15c2
a65b72e0-b389-f111-ab10-7c1e525b15c2,Getting Back 2 Happy,,,,,,a65b72e0-b389-f111-ab10-7c1e525b15c2
5a54a0dd-b389-f111-ab10-6045bdd69435,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),,,,,,5a54a0dd-b389-f111-ab10-6045bdd69435
9542c1c2-c37a-f111-ab0f-000d3a14673b,Getting Back 2 Happy: The Chronicles of Tabby (Unabridged),,,,,6ca105f4-c47a-f111-ab0f-6045bdd69738; 4e319ccf-c47a-f111-ab0f-000d3a1a9efa,9542c1c2-c37a-f111-ab0f-000d3a14673b
1e4097e0-b389-f111-ab10-00224820105b,"Girl, Did You Know...?",,,,,,1e4097e0-b389-f111-ab10-00224820105b
d0b91ac7-c37a-f111-ab0f-00224820105b,"Girl, Did You Know…?",,,,,093042f6-c47a-f111-ab0f-00224820105b; f63e34f5-c47a-f111-ab0f-000d3a14673b,d0b91ac7-c37a-f111-ab0f-00224820105b
6454a0dd-b389-f111-ab10-6045bdd69435,"Girl, You're Not Crazy. You're Dealing With a Narcissist",4a56c9ff-4389-f111-ab10-6045bdd69678,,067855cb-bd8a-f111-ab10-6045bdd69435,,,6454a0dd-b389-f111-ab10-6045bdd69435
7f67a4c3-c37a-f111-ab0f-6045bdd69678,God’s Business Plan,,,,,67e9b4ed-c47a-f111-ab0f-6045bdd69738; 3c2d53d0-c47a-f111-ab0f-000d3a14673b; 3d2d53d0-c47a-f111-ab0f-000d3a14673b,7f67a4c3-c37a-f111-ab0f-6045bdd69678
7e000573-cc7a-f111-ab0f-7c1e525b15c2,God's Nudge,,,,,,7e000573-cc7a-f111-ab0f-7c1e525b15c2
6209d7cb-c27a-f111-ab0f-6045bdd69678,God's Word For This World,,,,,4b26bee3-c47a-f111-ab0f-00224820105b; f59680e2-c47a-f111-ab0f-6045bdd69678,6209d7cb-c27a-f111-ab0f-6045bdd69678
c2ed8074-cc7a-f111-ab0f-6045bdd69435,God’s Word For This World,,,,,,c2ed8074-cc7a-f111-ab0f-6045bdd69435
9d42c1c2-c37a-f111-ab0f-000d3a14673b,Grandmothers Educating Minds,,,,,6e9b5ee2-c47a-f111-ab0f-000d3a1a9efa; 2d696bdc-c47a-f111-ab0f-6045bdd69678,9d42c1c2-c37a-f111-ab0f-000d3a14673b
db5b72e0-b389-f111-ab10-7c1e525b15c2,Have You Considered My Servant?,,,,,,db5b72e0-b389-f111-ab10-7c1e525b15c2
d6b91ac7-c37a-f111-ab0f-00224820105b,"Help God, I Am - the Collection",,,,,5dfc08e0-c47a-f111-ab0f-000d3a9eacee; 98ab58e1-c47a-f111-ab0f-6045bdd69738,d6b91ac7-c37a-f111-ab0f-00224820105b
e55b72e0-b389-f111-ab10-7c1e525b15c2,"Help God, I Am - The Collection",,,,,,e55b72e0-b389-f111-ab10-7c1e525b15c2
2a4097e0-b389-f111-ab10-00224820105b,"Help God, I Am Afraid",,,,,,2a4097e0-b389-f111-ab10-00224820105b
f05b72e0-b389-f111-ab10-7c1e525b15c2,"Help God, I Am Angry",,,,,,f05b72e0-b389-f111-ab10-7c1e525b15c2
5ca0a0e0-b389-f111-ab10-6045bdd69738,"Help God, I Am Confused",,,,,,5ca0a0e0-b389-f111-ab10-6045bdd69738
b97e1ee0-b389-f111-ab10-000d3a14673b,"Help God, I Am Hurt",,,,,,b97e1ee0-b389-f111-ab10-000d3a14673b
b3a6c7e3-b389-f111-ab10-000d3a9eacee,"Help God, I Am Lonely",,,,,,b3a6c7e3-b389-f111-ab10-000d3a9eacee
b5a6c7e3-b389-f111-ab10-000d3a9eacee,"Help God, I Am Lost",,,,,,b5a6c7e3-b389-f111-ab10-000d3a9eacee
bc7e1ee0-b389-f111-ab10-000d3a14673b,"Help God, I Am Sad",,,,,,bc7e1ee0-b389-f111-ab10-000d3a14673b
73dea4e3-b389-f111-ab10-6045bdd69435,"Hop, Hop, Hop",,,,,,73dea4e3-b389-f111-ab10-6045bdd69435
1c5c72e0-b389-f111-ab10-7c1e525b15c2,"Hop, Hop, Hop",,,,,,1c5c72e0-b389-f111-ab10-7c1e525b15c2
564797d0-c27a-f111-ab0f-7c1e525b15c2,"Hop, Hop, Hop",,,,,c2fcf5db-c47a-f111-ab0f-000d3a1a9efa; 97fb08e0-c47a-f111-ab0f-000d3a9eacee,564797d0-c27a-f111-ab0f-7c1e525b15c2
c0ee73e4-b389-f111-ab10-6045bdd69678,Inner Peace Through Life's Storms,,,,,,c0ee73e4-b389-f111-ab10-6045bdd69678
df0f6fd3-c27a-f111-ab0f-6045bdd69435,Inner Peace Through Life's Storms,,,,,270a92ef-c47a-f111-ab0f-6045bdd69435; 2002ddee-c47a-f111-ab0f-7c1e525b15c2,df0f6fd3-c27a-f111-ab0f-6045bdd69435
61a0a0e0-b389-f111-ab10-6045bdd69738,Inspirations from God,,,,,,61a0a0e0-b389-f111-ab10-6045bdd69738
574797d0-c27a-f111-ab0f-7c1e525b15c2,Just What I Needed,,,,,b181b9dd-c47a-f111-ab0f-00224820105b; 32578adc-c47a-f111-ab0f-7c1e525b15c2,574797d0-c27a-f111-ab0f-7c1e525b15c2
665c72e0-b389-f111-ab10-7c1e525b15c2,Let Me Tell You about It,,,,,,665c72e0-b389-f111-ab10-7c1e525b15c2
955c72e0-b389-f111-ab10-7c1e525b15c2,Loving the Addict,,,,,,955c72e0-b389-f111-ab10-7c1e525b15c2
f9ee73e4-b389-f111-ab10-6045bdd69678,Melodies from Heaven,,,,,,f9ee73e4-b389-f111-ab10-6045bdd69678
7edea4e3-b389-f111-ab10-6045bdd69435,Melodies From Heaven,,,,,,7edea4e3-b389-f111-ab10-6045bdd69435
fdee73e4-b389-f111-ab10-6045bdd69678,More Than A Village,,,,,,fdee73e4-b389-f111-ab10-6045bdd69678
83c2a2e6-b389-f111-ab10-6045bdd69738,Naughty Tales,,,,,,83c2a2e6-b389-f111-ab10-6045bdd69738
a05f72d0-c27a-f111-ab0f-6045bdd69738,Naughty Tales,,,,,db8f78e8-c47a-f111-ab0f-000d3a1a9efa; 1285e8e9-c47a-f111-ab0f-00224820105b,a05f72d0-c27a-f111-ab0f-6045bdd69738
