"Title / Working Title","Author Public/Pen Name","Project/Title ID","ReconciliationReason","DuplicateGroupKey","DuplicateGroupSize","OperationallyActive"
"Establishing Glory 3","Jackie Smith, Jr.","2e9c7bde-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","establishing glory 3 jackie smith jr","3","NO"
"Establishing Glory 3","Jackie Smith, Jr.","a35b72e0-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","establishing glory 3 jackie smith jr","3","NO"
"Establishing Glory 3","Jackie Smith, Jr.","a45b72e0-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","establishing glory 3 jackie smith jr","3","NO"
"Divinely Inspired","Regina Scales","b27e1ee0-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","divinely inspired regina scales","3","NO"
"Establishing Glory","Jackie Smith, Jr.","b37e1ee0-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Divinely Inspired","Regina Scales","15dac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","divinely inspired regina scales","3","NO"
"Establishing Glory","Jackie Smith, Jr.","154097e0-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Establishing Glory","Jackie Smith, Jr.","4454a0dd-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Establishing Glory","Jackie Smith, Jr.","249c7bde-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Establishing Glory","Jackie Smith, Jr.","54a0a0e0-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Establishing Glory","Jackie Smith, Jr.","55a0a0e0-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Establishing Glory","Jackie Smith, Jr.","9d5b72e0-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","establishing glory jackie smith jr","9","NO"
"Destined to Break the Curse","Sean Smith, Sr.","af7e1ee0-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","destined to break curse sean smith sr","2","NO"
"Discipline and Direction","Terry Stephens","b17e1ee0-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","discipline and direction terry stephens","2","NO"
"Discipline and Direction","Terry Stephens","80064bcd-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","discipline and direction terry stephens","2","NO"
"Destined to Break the Curse","Sean Smith, Sr.","9c4b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","destined to break curse sean smith sr","2","NO"
"Divinely Inspired","Regina Scales","cc4b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","divinely inspired regina scales","3","NO"
"Department of the Air Force: Mission Driven Leadership","USAF","3354a0dd-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","department of air force mission driven leadership usaf","2","NO"
"Destined To Break The Curse Devotional","Sean Smith, Sr.","3654a0dd-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","destined to break curse devotional sean smith sr","2","NO"
"Destined to Break the Curse Devotional","Sean Smith, Sr.","9b8797ca-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","destined to break curse devotional sean smith sr","2","NO"
"Delicious Ideas!","Agape International Cathedral","ba0402da-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","delicious ideas agape international cathedral","3","NO"
"Damaged","Lisa Taylor","0cdac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","damaged lisa taylor","2","NO"
"Conquer Your Fears and Win","Gloria Patterson","943582da-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","conquer your fears and win gloria patterson","3","NO"
"Delicious Ideas!","Agape International Cathedral","c70f6fd3-c27a-f111-ab0f-6045bdd69435","LEGACY_DUPLICATE","delicious ideas agape international cathedral","3","NO"
"Damaged","Lisa Taylor","33106fd3-c27a-f111-ab0f-6045bdd69435","LEGACY_DUPLICATE","damaged lisa taylor","2","NO"
"Department of the Air Force Mission Driven Leadership","USAF","3154a0dd-b389-f111-ab10-6045bdd69435","LEGACY_DUPLICATE","department of air force mission driven leadership usaf","2","NO"
"Conquer Your Fears and Win","Gloria Patterson","139c7bde-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","conquer your fears and win gloria patterson","3","NO"
"Conquer Your Fears and Win","Gloria Patterson","9a8797ca-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","conquer your fears and win gloria patterson","3","NO"
"Delicious Ideas!","Agape International Cathedral","0a7e1ada-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","delicious ideas agape international cathedral","3","NO"
"Bodacious","Nathaniel Short","901a04cd-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","bodacious nathaniel short","2","NO"
"Connected!","Dennis Brown","911a04cd-c27a-f111-ab0f-000d3a14673b","LEGACY_DUPLICATE","connected dennis brown","2","NO"
"Bodacious","Nathaniel Short","07dac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","bodacious nathaniel short","2","NO"
"Connected!","Dennis Brown","08dac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","connected dennis brown","2","NO"
"Come Out of Hiding","Christina Chislom","933582da-b389-f111-ab10-00224820105b","LEGACY_DUPLICATE","come out of hiding christina chislom","2","NO"
"Biblical Prescriptions For Life's Troubles","Terry Stephens","569a11da-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","biblical prescriptions for life s troubles terry stephens","2","NO"
"Come Out of Hiding","Christina Chislom","057e1ada-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","come out of hiding christina chislom","2","NO"
"BEE Careful","Deborah Eiland","a60402da-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"BEE Careful","Deborah Eiland","04dac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"BEE Careful","Deborah Eiland","06dac7dd-b389-f111-ab10-000d3a9eacee","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"BEE Careful","Deborah Eiland","079c7bde-b389-f111-ab10-6045bdd69678","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"Biblical Prescriptions for Life's Troubles","Terry Stephens","928904ca-c27a-f111-ab0f-6045bdd69738","LEGACY_DUPLICATE","biblical prescriptions for life s troubles terry stephens","2","NO"
"BEE Careful","Deborah Eiland","559a11da-b389-f111-ab10-6045bdd69738","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"BEE Careful","Deborah Eiland","998797ca-c27a-f111-ab0f-7c1e525b15c2","LEGACY_DUPLICATE","bee careful deborah eiland","6","NO"
"Because the Lord is My Shepherd","Carolyn Booker-Pierce","017e1ada-b389-f111-ab10-7c1e525b15c2","LEGACY_DUPLICATE","because lord is my shepherd carolyn booker pierce","2","NO"
"Almost Happy","Jaylonna Stevette","a00402da-b389-f111-ab10-000d3a14673b","LEGACY_DUPLICATE","almost happy jaylonna stevette","3","NO"
"Aligned!","Dennis Brown","7a064bcd-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","aligned dennis brown","2","NO"
"Almost Happy","Jaylonna Stevette","7b064bcd-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","almost happy jaylonna stevette","3","NO"
"Because the Lord Is My Shepherd","Carolyn Booker-Pierce","9b4b00d4-c27a-f111-ab0f-00224820105b","LEGACY_DUPLICATE","because lord is my shepherd carolyn booker pierce","2","NO"
