canonicalProductId,generatedStableProductId,canonicalProductKey,canonicalWorkId,canonicalEditionId,title,authorDisplayName,format,rawFormat,isbn13,legacyOrAudioIdentifier,asin,publicationDate,distributionState,knownChannels,productRelationship,rawLegacyStatus,legacyStatusInterpretation,rawHouse,legacyHouseInterpretation,rawContract,legacyContractInterpretation,sourceRowNumber,existingAssetMatched
adb515d6-c47a-f111-ab0f-7c1e525b15c2,27b5e38f-d23a-5035-aded-67335c720255,identifier:9781950719716,958904ca-c27a-f111-ab0f-6045bdd69738,98a7a105-d6e0-5f99-af68-16a52b9ac174,For What It's Worth,Kelli Milligan Stammen,EBOOK,Ebook,9781950719716,,,2021-03-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,80,true
7e148ad7-c47a-f111-ab0f-00224820105b,08a0b190-af9d-5dc9-a64b-ca315c3dad49,identifier:9781950719723,958904ca-c27a-f111-ab0f-6045bdd69738,98a7a105-d6e0-5f99-af68-16a52b9ac174,For What It's Worth,Kelli Milligan Stammen,PAPERBACK,Paperback,9781950719723,,,2021-03-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,81,true
06440eda-c47a-f111-ab0f-000d3a9eacee,caca1740-0c35-50a0-a324-22ca5eab43a6,identifier:9781950719730,584797d0-c27a-f111-ab0f-7c1e525b15c2,8fe6863e-3c03-50df-adb6-44e0609137ef,Melodies from Heaven,Bailey Cunningham,EBOOK,Ebook,9781950719730,,B08WL5NR31,2021-03-15,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,82,true
97fcf5db-c47a-f111-ab0f-000d3a1a9efa,c66f7bf1-7bdf-50d8-a030-c0b93aec371a,identifier:9781950719747,584797d0-c27a-f111-ab0f-7c1e525b15c2,8fe6863e-3c03-50df-adb6-44e0609137ef,Melodies from Heaven,Bailey Cunningham,PAPERBACK,Paperback,9781950719747,,,2021-03-15,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,83,true
7f148ad7-c47a-f111-ab0f-00224820105b,63b741a3-5f2e-5c54-a4a7-fb1d215f80ff,identifier:9781950719754,6509d7cb-c27a-f111-ab0f-6045bdd69678,ee309fcf-dc61-58aa-af46-bfda74026faf,"Help God, I Am Sad",Cheryl Travis,EBOOK,Ebook,9781950719754,,B08T5HZD3N,2021-03-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,84,true
12696bdc-c47a-f111-ab0f-6045bdd69678,30eee2d3-d0f3-5d07-a720-96994033ea8d,identifier:9781950719761,6509d7cb-c27a-f111-ab0f-6045bdd69678,ee309fcf-dc61-58aa-af46-bfda74026faf,"Help God, I Am Sad",Cheryl Travis,HARDCOVER,Hardback,9781950719761,,,2021-03-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,85,true
f7dd59dc-c47a-f111-ab0f-000d3a14673b,d9fce27d-3fa0-5b62-a619-206b2f871e9e,identifier:9781950719778,99064bcd-c27a-f111-ab0f-00224820105b,7bde293b-e8f6-5996-afcd-a4a5b8505373,"Help God, I Am Confused",Cheryl Travis,EBOOK,Ebook,9781950719778,,B08TV43QPW,2021-05-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,86,true
26578adc-c47a-f111-ab0f-7c1e525b15c2,3a6c9198-f1e8-52e3-a60b-a2e1f7b4f77c,identifier:9781950719785,99064bcd-c27a-f111-ab0f-00224820105b,7bde293b-e8f6-5996-afcd-a4a5b8505373,"Help God, I Am Confused",Cheryl Travis,HARDCOVER,Hardback,9781950719785,,,2021-05-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,87,true
27578adc-c47a-f111-ab0f-7c1e525b15c2,a332e3c7-a7cb-562f-a654-75e0f4302ad1,identifier:9781950719792,971a04cd-c27a-f111-ab0f-000d3a14673b,682baa52-cb18-5e5c-a2d9-37d78d5abc48,Inspirations from God,Edith Clay,EBOOK,Ebook - EPUB,9781950719792,,B091BDVL63,2021-05-01,CURRENTLY_DISTRIBUTED,AMAZON_KINDLE,CATALOG_EDITION,AC (USA)/AC (EBC),OPAQUE_LEGACY_CODE,,,1,OPAQUE_LEGACY_CODE,88,true
fb494fdb-c47a-f111-ab0f-6045bdd69738,92d90bdd-4e90-5e23-a28c-d54353f8ad3a,identifier:9781950719808,971a04cd-c27a-f111-ab0f-000d3a14673b,682baa52-cb18-5e5c-a2d9-37d78d5abc48,Inspirations from God,Edith Clay,PAPERBACK,Paperback,9781950719808,,,2021-05-01,CURRENTLY_DISTRIBUTED,,CATALOG_EDITION,AC (USA),OPAQUE_LEGACY_CODE,Y,OPAQUE_LEGACY_CODE,1,OPAQUE_LEGACY_CODE,89,true
